product_name,price_after_discnt,percent_discnt
NIVEA 5 In 1 Complete Care Nourishing Cocoa Body Lotion With Cocoa Butter & Vitamin E - 400ML(Pack Of 2),"KSh 1,024",20%
Garnier Day & Night Vitamin C Serum Routine Pack,"KSh 2,550",40%
Garnier Pure Active 3 In1 Charcoal  Anti  Blackhead Mask Wash Scrub -150ml,KSh 874,35%
Veet Veet Cream Dry 100g,KSh 711,29%
Menengai Menengai Cream Bar Soap - 1kg,KSh 179,28%
Ball Perfume Pheromone For Women,KSh 230,45%
Menengai Menengai Cream Bar Soap - 800g,KSh 149,34%
ARHANORY Phone Tripod Stand Mobile Phone Holder Mount Ring Light Set Selfie Stick-Black,KSh 499,36%
Bluetooth Speaker Portable TF Card FM Mode HD Sound Quality,KSh 799,43%
Fashion Elegant Ladies Wristwatch  Bracelet 6Pcs/Set Necklace Earring Ring Rose Gold,KSh 889,32%
8'' Ring Light Tripod Stand LED Lights Selfie Phone Holder Phones Accessories,KSh 699,46%
Top Fry Top Fry Vegetable Oil - 5ltr,"KSh 1,099",33%
Women Perfume Body Lotion Set Fragrance,KSh 279,49%
Sleep Headphones Wireless Bluetooth Sports Headband Workout,KSh 785,54%
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,"KSh 1,199",33%
Maybelline Lifter Gloss Petal With Hyaluronic Acid,"KSh 1,200",40%
"Maybelline Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Topaz","KSh 1,200",40%
Maybelline Superstay Matte Ink Liquid Lipstick - 20 Pioneer,"KSh 1,440",40%
Maybelline Superstay Vinyl  Ink 55 Royal,"KSh 1,677",40%
"Maybelline Lifter Gloss Hydrating Lip Gloss With Hyaluronic Acid, Ice","KSh 1,200",40%
Maybelline Volume Express Colossal 100% Black Mascara,KSh 750,40%
Maybelline Fit Me Matte & Poreless Setting Spray,"KSh 1,044",40%
Maybelline Sky High Lash Sensational Mascara - Black,"KSh 1,380",40%
Maybelline Lasting Fix Setting Spray,"KSh 1,554",30%
Maybelline SuperStay 30H Active Wear Foundation- 67 Warm Coconut,"KSh 1,680",30%
Maybelline Fit Me Matte And Poreless Foundation 30 Ml 356 WARM COCONUT,"KSh 1,253",30%
Maybelline Superstay Skin Tint Shade  63 With Vitamin C,"KSh 1,875",25%
Maybelline Superstay Skin  Tint Shade 66 With Vitamin C,"KSh 1,875",25%
Maybelline Superstay Skin Tint Shade  67 With Vitamin C,"KSh 1,875",25%
NIVEA Nourishing Cocoa Body Lotion With Cocoa Butter 400ml (Pack Of 2),KSh 896,30%
Garnier Charcoal Serum With AHA+BHA 30ml Twin Pack,"KSh 2,220",40%
Cosrx [COSRX] ALL ABOUT SNAIL KIT 4-Step,"KSh 3,450",23%
"Rexona Rexona men Roll-on , 72hr Anti-perspirant , Active , 25ML",KSh 169,15%
UNCOVER On The Go Kit,"KSh 3,020",15%
"Dettol Antibacterial Soap SkinCare, 175g",KSh 250,17%
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,KSh 899,31%
Some By Mi Propolis B5 Glow Barrier Calming Starter Kit,"KSh 2,750",35%
Vaseline Men Cooling + Free Men Cooling Petroleum Jelly ( 200ml +45ml),KSh 256,18%
Mizani 25 Miracle Milk- Leave In Conditioner 250ml,"KSh 3,807",15%
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)",KSh 699,33%
Lattafa Yara for Women Eau de Parfum Spray,"KSh 2,285",35%
NIVEA Aloe & Hydration Body Lotion For Women - 200ml (Pack Of 2),KSh 576,20%
Makeup Storage Bag Travel Bag Makeup Organizer,KSh 710,28%
